ra dec P dP A T0 V I J H K Jsigma Hsigma Ksigma quality T2mass
4.520167 -73.741917 1.1565279 1.6e-06 0.398 6000.97647 17.735 17.185 16.497 15.943 16.001 0.051 0.077 0.131 AAB 2451865.6604
4.561 -73.284778 1.7609174 1.4e-06 0.746 6001.28954 17.436 16.821 16.316 15.962 15.833 0.044 0.08 0.122 AAB 2451865.6586
5.672583 -74.88725 1.8774875 5.5e-06 0.406 6001.85075 17.073 16.431 15.986 15.659 15.586 0.04 0.059 0.092 AAA 2451866.582
4.84275 -73.729417 3.4299749 6.9e-06 0.538 6002.44403 16.603 15.914 15.318 15.045 14.995 0.029 0.043 0.060 AAA 2451866.5287
4.90775 -73.336389 1.4196497 1.3e-06 0.744 6001.37115 17.475 16.91 16.579 16.288 16.065 0.053 0.094 0.149 AAB 2451866.5303
4.999667 -73.413528 1.9311793 3.7e-06 0.686 6001.02524 17.309 16.721 16.176 15.942 15.785 0.043 0.066 0.115 AAB 2451866.5435
5.070958 -74.086861 1.472733 1.4e-06 0.613 6001.45912 17.605 16.986 16.552 15.989 15.947 0.05 0.071 0.128 AAB 2451866.5462
5.144208 -73.637028 1.6222513 1.7e-06 0.771 6000.34588 17.417 16.855 16.546 16.232 16.171 0.05 0.081 0.153 AAC 2451866.5444
5.159708 -73.716556 1.3626387 2e-06 0.576 6000.80022 17.6 17.014 16.367 16.242 16.188 0.047 0.083 0.150 AAC 2451866.5447
5.230417 -73.553806 8.9757091 7.49e-05 0.325 6002.22301 15.617 14.815 14.234 13.852 13.785 0.024 0.025 0.028 AAA 2451866.5441
5.262042 -73.721583 1.4252024 1.9e-06 0.457 6000.07743 17.723 17.102 16.647 16.33 16.134 0.057 0.095 0.151 AAB 2451866.5448
5.266167 -73.725194 4.183778 2.03e-05 0.324 6001.92881 16.41 15.663 15.161 14.777 14.712 0.026 0.032 0.045 AAA 2451866.5448
5.311667 -73.599278 4.5495729 1.64e-05 0.474 6001.60686 16.092 15.402 14.707 14.411 14.316 0.026 0.029 0.036 AAA 2451866.5443
5.230417 -73.553806 1.4237391 1.4e-06 0.572 6000.6104 17.657 17.078 14.234 13.852 13.785 0.024 0.025 0.028 AAA 2451866.5441
5.443 -73.341528 1.2829822 1.2e-06 0.515 6001.24257 17.787 17.175 16.724 16.342 16.173 0.06 0.101 0.149 AAC 2451866.5882
5.672583 -74.88725 2.3176198 3.5e-06 0.772 6001.62894 17.076 16.386 15.986 15.659 15.586 0.04 0.059 0.092 AAA 2451866.582
5.4745 -72.372972 1.2874115 1.4e-06 0.652 6000.07773 17.768 17.196 16.589 16.295 15.931 0.058 0.087 0.13 AAB 2451866.5921
4.935833 -72.761306 2.2371914 1.7e-06 0.694 6000.09678 17.306 16.702 16.238 15.886 15.698 0.042 0.079 0.096 AAA 2451866.5326
5.17775 -72.935389 1.7126363 1.8e-06 0.441 6000.86118 17.475 16.831 16.254 16.186 15.996 0.041 0.089 0.13 AAB 2451866.5416
5.511167 -69.562889 1.5306648 2.8e-06 0.439 6000.6209 17.605 16.956 16.49 16.178 16.021 0.047 0.081 0.135 AAB 2451903.539
6.508917 -73.924167 1.8351107 1.7e-06 0.668 6000.26692 17.485 16.848 16.439 16.015 15.965 0.047 0.073 0.127 AAB 2451866.6438
6.508917 -73.924167 2.3832373 4e-06 0.545 6002.00733 17.123 16.42 16.439 16.015 15.965 0.047 0.073 0.127 AAB 2451866.6438
6.547833 -73.625111 4.6594634 1.85e-05 0.31 6003.77109 16.011 15.37 14.749 14.438 14.459 0.026 0.033 0.039 AAA 2451866.645
6.577792 -73.540611 1.4714919 1.2e-06 0.708 6001.32886 17.589 17.04 16.476 16.181 16.28 0.052 0.108 0.193 AAC 2451866.6599
6.639833 -74.347889 1.3424824 1.5e-06 0.68 6000.24907 17.836 17.264 16.765 16.553 16.189 0.069 0.137 0.162 ABC 2451866.6632
6.68175 -73.543361 1.3247768 1.1e-06 0.782 6001.21691 17.58 17.084 16.382 16.308 16.626 0.055 0.117 0.240 ABD 2451866.6599
6.694083 -73.111417 1.9208993 4.8e-06 0.254 6001.70096 17.339 16.643 16.163 15.847 15.725 0.041 0.084 0.129 AAB 2451866.6582
6.852375 -73.265556 4.6677202 1.11e-05 0.519 6002.48192 16.043 15.355 14.844 14.585 14.541 0.022 0.032 0.045 AAA 2451866.6588
6.902667 -73.761444 5.267144 3.86e-05 0.282 6001.86847 16.092 15.324 14.806 14.513 14.46 0.022 0.031 0.039 AAA 2451866.6608
7.005542 -74.081417 2.6531081 3.4e-06 0.779 6002.26902 16.734 16.203 16.861 16.996 16.718 0.076 0.221 0.287 ADD 2451904.5643
7.005542 -74.081417 1.3749662 3.5e-06 0.289 6000.73595 17.87 17.195 16.861 16.996 16.718 0.076 0.221 0.287 ADD 2451904.5643
